;tot population;Waste generation rate [kg/person/day]
Australia;25788215;2.23
Canada;38067903;2.33
Chile;19212361;1.08
China;1444216107;1.1
Colombia8;51265844;1.2
Costa Rica;5139052;1.36
Ecuador;17888475;1.13
El Salvador;6518499;1.13
Guatemala;18249860;2.00
Honduras;10062991;1.45
Hong Kong;7552810;1.99
Indonesia;276361783;0.52
Japan;126050804;1.71
Korea, North;25887041;0.6
Korea, South ;51305186;1.24
Malaysia;32776194;1.52
Mexico;130262216;1.24
New Caledonia;288218;2.1
Nicaragua;6702385;1.1
Panama;4381579;1.21
Peru8;33359418;1.2
Philippines;111046913;0.5
Russia;145912025;0.93
Singapore;5896686;1.49
United States;332915073;2.58
Vietnam8;98168833;0.79
