;;Longitude (E/W) ;Lattitude (N/S);factor for dividing costal population;;
AUSTRALIE;Sidney;151.20699;-33.867487;3;;
;Melbourne;145.0531353;-37.9725665;3;;
;Brisbane;153.0234489;-27.4710107;3;;
CANADA;Victoria+Vancouver;-123.3196599;48.5963902;1;;
CHILE;vers santiago;-71.618533;-33.567745;2;;
;Antofagasta;-70.417731;-23.672133;2;;
CHINE;Shangai;121.9720399;31.2983198;3;;
;Canton/Macao;113.584101;21.8989056;4;;
;Pékin+Tianjin;119.6705862;39.3888883;4;;
Colombia;vers Medellin;-76.6405586;5.5828162;2;;
;vers Cali;-76.8508166;3.6455337;2;;
Costa Rica;point unique;-85.6895175;10.6288442;1;;
Ecuador;point 1;-80.922743;-2.2172558;2;;
;point 2 vers manta;-80.6104427;-0.7714596;2;;
Salvador;point unique (Liberta);-89.3110436;13.4867107;1;;
Guatemala;point unique;-91.5445476;14.0560434;1;;
Honduras;Choluteca+San Lorenzo;13.3199863;-87.3699777;1;;
Hong Kong;hong-kong;115.502463;19.0395665;1;;
Indonésie;regroupement île bord pacifique;129.2185285;1.5560354;1;;
Japon;tokyo;140.5391573;35.3181428;2;;
;sendai;141.1410158;38.2906429;2;;
north Korea;point unique;128.7474845;39.6517924;1;;
south korea;point unique;132.9528808;34.6278652;1;;
malaisie;Pahang;103.5845292;3.8953463;2;;
;point 2 ;113.3806928;4.5127194;2;;
Mexique;acapulco;-99.8766072;16.8294188;2;;
;mazatlan;-106.4601085;23.2443318;2;;
Nouvelle calédonie;point unique ;165.6660762;-20.7955247;1;;
nicaragua;point unique;-86.4294663;11.9054616;1;;
panama;poin1;-81.7969554;8.0678366;2;;
;point 2 (Panama city);-79.5057126;-79.5057126;2;;
pérou;lima (capitale);-77.4359607;-12.0604865;2;;
;Arequipa + Tacna ;-72.6832973;-16.5982799;2;;
Philiphines;point 1;122.8110861;17.6274722;3;;
;Butuan + Davao;125.3671081;12.4246293;3;;
;manille;120.8359912;14.3038358;3;;
Russia;Vladivostok;131.7835571;42.9724205;2;;
;point 2 ;143.3016433;49.2512262;2;;
Singapour;singap;104.7842894;1.5948097;1;;
USA;LA;-118.4117325;34.020479;3;;
;san fransisco;-122.4809104;37.7912474;3;;
;Portland + Seattle;-122.4095674;47.0400894;3;;
vietnam;point 1;106.6296118;20.1927791;2;;
;point 2 ;109.127003;11.4165914;2;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
